Código,Regiao,UF,Municipio,Possui Plano de Mobilidade Urbana,Ano de elaboracao,Aprovado em lei ou ato normativo,Instrumento Legal,Numero da Lei,Data da Lei
1200013,N,AC,AcrelÃ¢ndia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1200054,N,AC,Assis Brasil,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1200104,N,AC,BrasilÃ©ia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1200138,N,AC,Bujari,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1200179,N,AC,Capixaba,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1200203,N,AC,Cruzeiro do Sul,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1200252,N,AC,EpitaciolÃ¢ndia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1200302,N,AC,FeijÃ³,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1200328,N,AC,JordÃ£o,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1200336,N,AC,MÃ¢ncio Lima,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1200344,N,AC,Manoel Urbano,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1200351,N,AC,Marechal Thaumaturgo,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1200385,N,AC,PlÃ¡cido de Castro,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1200807,N,AC,Porto Acre,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1200393,N,AC,Porto Walter,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1200401,N,AC,Rio Branco,Sim,2007,Sim,Decreto Municipal,392/2015,20/04/2015
1200427,N,AC,Rodrigues Alves,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1200435,N,AC,Santa Rosa do Purus,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1200500,N,AC,Sena Madureira,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1200450,N,AC,Senador Guiomard,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1200609,N,AC,TarauacÃ¡,Sim,2016,Sim,Lei Complementar,009/2016,14/12/2016
1200708,N,AC,Xapuri,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2700102,NE,AL,Ãgua Branca,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2700201,NE,AL,Anadia,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2700300,NE,AL,Arapiraca,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2700409,NE,AL,Atalaia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2700508,NE,AL,Barra de Santo AntÃ´nio,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2700607,NE,AL,Barra de SÃ£o Miguel,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2700706,NE,AL,Batalha,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2700805,NE,AL,BelÃ©m,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2700904,NE,AL,Belo Monte,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2701001,NE,AL,Boca da Mata,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2701100,NE,AL,Branquinha,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2701209,NE,AL,Cacimbinhas,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2701308,NE,AL,Cajueiro,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2701357,NE,AL,Campestre,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2701407,NE,AL,Campo Alegre,Sim,2019,Sim,Lei Municipal,919/2019,24/04/2019
2701506,NE,AL,Campo Grande,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2701605,NE,AL,Canapi,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2701704,NE,AL,Capela,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2701803,NE,AL,Carneiros,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2701902,NE,AL,ChÃ£ Preta,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2702009,NE,AL,CoitÃ© do NÃ³ia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
